Country,Animal fats,"Aquatic Products, Other",Cereals - Excluding Beer,Eggs,"Fish, Seafood",Meat,Miscellaneous,Milk - Excluding Butter,Vegetable Oils,Vegetables,Obesity,Undernourished,Confirmed,Deaths,Recovered,Active,Population,Unit (all except Population),,,,,
Afghanistan,6.2224,0,8.0353,0.6859,0.0327,6.1244,0.0163,8.2803,17.0831,0.3593,4.5,29.8,0.142134196,0.006185779,0.123373921,0.012574497,38928000,%,,,,,
Albania,3.4172,0,2.6734,1.6448,0.1445,8.7428,0.017,17.7576,9.2443,0.6503,22.3,6.2,2.967300916,0.050951374,1.792635659,1.123713883,2838000,%,,,,,
Algeria,0.8972,0,4.2035,1.2171,0.2008,3.8961,0.0439,8.0934,27.3606,0.5145,26.6,3.9,0.244897085,0.006558153,0.167572198,0.070766734,44357000,%,,,,,
Angola,1.313,0,6.5545,0.1539,1.4155,11.0268,0.0308,1.2309,22.4638,0.1231,6.8,25,0.061687473,0.00146055,0.056807699,0.003419224,32522000,%,,,,,
Antigua and Barbuda,4.6686,0,3.2153,0.3872,1.5263,14.3202,0.0898,6.6607,14.4436,0.2469,19.1,NA,0.293877551,0.007142857,0.190816327,0.095918367,98000,%,,,,,
Argentina,3.3076,0,1.3316,1.5706,0.1664,19.2693,0,5.8512,17.3147,0.1878,28.5,4.6,4.356147387,0.108226635,3.905192058,0.342728695,45377000,%,,,,,
Armenia,6.2619,0,2.5068,1.6196,0.2218,10.8165,0.0361,10.4709,12.8127,0.8717,20.9,4.3,5.681224628,0.105345061,5.398410014,0.177469553,2956000,%,,,,,
Australia,4.603,0,0.9908,0.7017,0.4515,11.6002,0.052,6.5196,20.3612,0.2144,30.4,<2.5,0.112025316,0.003529549,0.10128912,0.007206648,25754000,%,,,,,
Austria,12.8517,0,1.2297,1.2147,0.4259,8.1099,0,5.1497,17.9323,0.2039,21.9,<2.5,4.739982051,0.089679156,4.496870092,0.153432802,8914000,%,,,,,
Azerbaijan,7.7987,0,5.4481,2.0197,0.2122,11.9993,0.017,9.9202,7.1538,0.6534,19.9,<2.5,2.285536209,0.031222794,2.225573803,0.028739612,10108000,%,,,,,
Bahamas,4.56,0,3.6327,1.2829,1.4991,17.4941,0.3556,5.1318,10.1659,0.3974,32.1,NA,2.100763359,0.044783715,1.735114504,0.32086514,393000,%,,,,,
Bangladesh,1.2369,0,6.9946,1.2664,2.1646,1.8407,0.0147,3.2249,29.6422,0.3092,3.4,14.7,0.316691106,0.004823066,0.284343586,0.027524454,169809000,%,,,,,
Barbados,3.9733,0,2.1187,1.213,1.806,13.1382,0.3235,5.6176,15.6882,0.2534,24.8,3.9,0.583972125,0.006271777,0.470034843,0.107665505,287000,%,,,,,
Belarus,7.8662,0,4.8075,1.5772,0.5151,11.5636,0.0519,2.0644,18.2119,0.3394,26.6,<2.5,2.740896,0.018912,2.612704,0.10928,9375000,%,,,,,
Belgium,12.6234,0,1.3531,1.1703,0.6188,5.6817,0,6.5057,19.3504,0.2982,24.5,<2.5,6.286322188,0.185427703,0,6.100894485,11515000,%,,,,,
Belize,9.8102,0,3.051,0.6759,0.4155,10.3435,0.1984,2.5053,19.3538,0.2108,22.4,7.5,2.872792363,0.073031026,2.739618138,0.060143198,419000,%,,,,,
Benin,0.4816,0,4.6952,0.2064,0.8599,3.2849,0.0258,1.2469,24.8775,0.3612,8.2,10.1,0.034343517,0.000450487,0.029183389,0.00470964,12209000,%,,,,,
Bolivia,4.1685,0,2.7296,1.5174,0.1831,21.1476,0.0436,3.2703,12.3485,0.1919,18.7,17.1,1.952445629,0.092435313,1.438614287,0.421396029,11633000,%,,,,,
Bosnia and Herzegovina,2.4453,0,3.6588,0.8354,0.3049,9.6957,0.0915,11.2629,13.2996,0.7866,19.4,<2.5,3.76208473,0.145534898,2.960316977,0.656232856,3281000,%,,,,,
Botswana,4.131,0,7.183,0.2697,0.3622,3.4759,0.1927,8.5241,22.3815,0.185,16.1,26.4,1.014372033,0.007034959,0.844799309,0.162537764,2317000,%,,,,,
Brazil,4.3627,0,1.1278,0.7706,0.1886,14.292,0,5.1654,21.2153,0.1204,22.3,<2.5,4.460165146,0.108602912,3.979468585,0.372093649,211812000,%,,,,,
Bulgaria,8.0274,0,1.8485,1.2201,0.3404,9.3523,0.0262,7.9698,17.5787,0.2461,27.4,3.6,3.227255666,0.134416053,2.788956258,0.303883355,6927000,%,,,,,
Burkina Faso,0.5981,0,10.5524,0.4061,0.3692,3.5741,0.0148,2.1636,19.1774,0.0665,4.5,20,0.053709994,0.000641056,0.048031383,0.005037554,20903000,%,,,,,
Cabo Verde,4.2923,0,5.1318,0.8468,0.5256,9.9204,0.1679,6.2851,18.6656,0.3066,10.6,12.6,2.586330935,0.024280576,2.461151079,0.100899281,556000,%,,,,,
Cambodia,0.8839,0,9.4179,0.5639,4.8461,11.7799,0.1372,0.6248,11.2313,0.2591,3.5,16.4,0.003058657,0,0.002929599,0.000129057,15497000,%,,,,,
Cameroon,0.7838,0,6.9796,0.0746,0.9051,3.3685,0.028,1.1197,23.2155,0.5505,9.5,9.9,0.118031431,0.001782089,0.110914354,0.005334988,26598000,%,,,,,
